Participant ID,Nouns/Predicates,TrialNEW,List,Nr,Condition,PredType,AnswerType,Word1,Word2,Rating
1,Predicates,98,1,1,1,V,DiffPred,eet,drinkt,-189
1,Predicates,99,2,7,2,V,DiffPred,traint,kookt,-168
1,Predicates,100,2,3,1,A,DiffSubj,kwaadaardige,kwaadaardige,300
1,Predicates,101,1,7,1,V,DiffSubj,beschermt,beschermt,300
1,Predicates,102,3,1,4,A,DiffPred,dove,knappe,-105
1,Predicates,103,4,3,2,V,DiffPred,brabbelt,citeert,-54
1,Predicates,104,1,3,1,V,DiffSubj,betovert,betovert,294
1,Predicates,105,2,8,4,A,DiffPred,luidruchtige,bruine,-120
1,Predicates,106,2,7,4,A,DiffSubj,glinsterende,glinsterende,300
1,Predicates,107,4,2,4,V,DiffPred,sterft,fraudeert,-126
1,Predicates,108,1,3,3,A,DiffPred,geweldige,fantastische,195
1,Predicates,109,2,7,4,A,DiffPred,paarse,glinsterende,-150
1,Predicates,110,1,1,2,A,DiffPred,dramatische,enge,-33
1,Predicates,111,4,6,1,V,DiffSubj,betreedt,betreedt,300
1,Predicates,112,1,7,4,V,DiffSubj,wijst af,wijst af,300
1,Predicates,113,4,2,2,A,DiffSubj,roze,roze,300
1,Predicates,114,2,6,1,A,DiffPred,energieke,vermoeide,-267
1,Predicates,115,3,2,1,A,DiffPred,zwakke,sterke,-252
1,Predicates,116,3,7,1,V,DiffPred,ontvangt,verstuurt,-246
1,Predicates,117,3,2,4,V,DiffSubj,kookt,kookt,-246
1,Predicates,118,3,3,4,A,DiffPred,groene,gladde,-219
1,Predicates,119,3,7,4,V,DiffSubj,schrijft,schrijft,300
1,Predicates,120,2,3,4,A,DiffSubj,groene,groene,300
1,Predicates,121,2,3,4,V,DiffSubj,bakt,bakt,300
1,Predicates,122,1,6,4,V,DiffSubj,brabbelt,brabbelt,300
1,Predicates,123,2,7,3,V,DiffSubj,controleert,controleert,300
1,Predicates,124,3,8,4,A,DiffSubj,luidruchtige,luidruchtige,300
1,Predicates,125,2,3,3,A,DiffSubj,vermoeide,vermoeide,300
1,Predicates,126,1,1,3,A,DiffPred,dappere,heldhaftige,213
1,Predicates,127,2,7,4,A,DiffPred,glinsterende,paarse,-159
